针织烂花,棉类面料>>其他棉纺>>烂花 针织面料>>其他针织面料>>其他针织面料
针织牙签条,棉类面料>>条子布 棉类面料>>衬衫布
针织牛百叶,针织面料>>其他针织面料
针织破洞,针织面料>>其他针织面料
针织羊绒,呢料毛纺面料>>羊绒
针织蜂窝,针织面料>>网布>>网眼布 针织面料>>网布>>网布 针织面料>>网布>>网孔布
针织里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
针织阳离子,针织面料>>弹力布>>阳离子拉架 化纤面料>>其他涤纶面料
针织韩国麻,化纤面料>>雪纺>>韩国麻
钻石丝,化纤面料>>其他化纤面料>>风衣布
钻石麻,化纤面料>>雪纺
铜氨丝,化纤面料>>人丝乔其
铜氨人丝,丝绸/真丝面料>>顺纡绉 化纤面料>>人丝乔其
铜氨针织,针织面料>>汗布>>汗布
锦棉双层,化纤面料>>羽绒服、棉服面料
锦棉竹节,化纤面料>>羽绒服、棉服面料
锦涤磨丝,化纤面料>>桃皮绒 化纤面料>>色丁
锦涤纺,化纤面料>>羽绒服、棉服面料 化纤面料>>其他尼龙面料
锦纶四面弹复合,化纤面料>>其他化纤面料
锦纶布,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>其他尼龙面料
防水牛津布,化纤面料>>牛津纺>>牛津布 化纤面料>>功能布>>防水布
防水透气面料,化纤面料>>功能布>>防水布 化纤面料>>牛津纺 棉类面料>>工装面料 化纤面料>>其他化纤面料>>冲锋衣面料 化纤面料>>其他化纤面料>>登山布
防水面料,化纤面料>>功能布>>防水布
防绒布,化纤面料>>其他化纤面料>>防羽布
防臭面料,化纤面料>>功能布
防静电面料,其他面料>>特种面料>>抗静电布
防静电面料,其他面料>>特种面料>>抗静电布
阳离子,化纤面料>>其他涤纶面料
阳离子提花,针织面料>>弹力布>>阳离子拉架 化纤面料>>其他涤纶面料
阳离子汗布,针织面料>>汗布
阻燃面料,化纤面料>>功能布
阿尔泰绒,呢料毛纺面料>>绒布>>气蒸绒 呢料毛纺面料>>绒布>>泰迪绒 呢料毛纺面料>>绒布>>仿羊绒
雪丝绒,呢料毛纺面料>>绒布>>长毛绒
雪来呢,呢料毛纺面料>>其他呢料>>其他呢料
雪纺剪花,针织面料>>针织提花 棉类面料>>梭织提花
雪纺压皱,化纤面料>>雪纺
雪纺提花,化纤面料>>雪纺
雪纺珠,化纤面料>>雪纺
雪纺绉,化纤面料>>雪纺
青年布,棉类面料>>工装面料>>工装面料
韩国斜,化纤面料>>雪纺>>佳丽斜
韩国纱,化纤面料>>雪纺>>佳丽纱
韩国纱,化纤面料>>雪纺>>佳丽纱
韩圈呢,呢料毛纺面料>>圈圈呢 呢料毛纺面料>>羊绒
韩彩呢,呢料毛纺面料>>羊绒 呢料毛纺面料>>圈圈呢
韩泰呢,呢料毛纺面料>>粗纺
韩珠呢,呢料毛纺面料>>粗纺 针织面料>>空气层
韩鑫呢,呢料毛纺面料>>粗纺 呢料毛纺面料>>羊绒
顺毛,呢料毛纺面料>>顺毛呢
顺纡皱,丝绸/真丝面料>>顺纡绉
香奈儿,呢料毛纺面料>>粗纺>>粗花呢
香风,呢料毛纺面料>>粗纺 呢料毛纺面料>>其他呢料>>花呢
马海绒,呢料毛纺面料>>其他毛纺面料>>马海毛
高丝宝,化纤面料>>其他化纤面料>>仿真丝
高丽纱,化纤面料>>雪纺>>高丽纱
高丽纱印花,化纤面料>>雪纺>>高丽纱
高密仿天丝,棉类面料>>其他棉纺>>仿天丝
高密仿真丝,化纤面料>>其他化纤面料>>仿真丝
高密斜,棉类面料>>斜纹布
高密斜仿天丝,棉类面料>>其他棉纺>>仿天丝
高密春亚纺,化纤面料>>春亚纺
高弹赛络纺,棉类面料>>弹力布 棉类面料>>其他棉纺>>赛络纺
麦呢,呢料毛纺面料>>麦尔登呢
麻料色织,麻类面料>>其他麻纺面料>>色织
齐乐绒,棉类面料>>灯芯绒
