经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
网格布,棉类面料>>格子布>>网格
直贡尼，菠萝布,针织面料>>其他针织面料>>直贡呢  针织面料>>针织提花>>菠萝布
尼龙布,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>其他尼龙面料
锦棉氨蕾丝,蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>锦氨蕾丝
亮光风衣布,化纤面料>>羽绒服、棉服面料
真丝人棉,化纤面料>>其他粘胶(人棉)面料
丝麻竹节,麻类面料>>麻料混纺
东风纱,丝绸/真丝面料>>真丝面料
直弹印花布,棉类面料>>弹力布
罗纹,针织面料>>罗纹
领子,辅料>>毛领 辅料>>服装饰品>>领花 蕾丝/绣品>>绣品>>领花
帽子,辅料>>服装饰品
双面,无
棉麻针织布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
蚂蚁布，,呢料毛纺面料>>绒布>>蚂蚁布
童装，男女装,无
梭织色织,棉类面料>>条子布 棉类面料>>格子布 棉类面料>>衬衫布 麻类面料>>其他麻纺面料>>色织
打绉,加工服务>>定型>>压皱
乱麻植绒，,化纤面料>>雪纺>>乱麻
拔白，彩拔,加工服务>>印花>>活性印花 加工服务>>印花>>水浆印花
拔白,加工服务>>印花>>活性印花 加工服务>>印花>>水浆印花
春秋丁,化纤面料>>牛津纺 化纤面料>>其他涤纶面料
防绒布,化纤面料>>其他化纤面料>>防羽布
多丽丝竹节,化纤面料>>雪纺>>多丽丝
仿羊羔绒,呢料毛纺面料>>绒布>>仿羊绒
锦涤纺,化纤面料>>羽绒服、棉服面料 化纤面料>>其他尼龙面料
色丁布，棉布,丝绸/真丝面料>>色丁 化纤面料>>色丁 针织面料>>其他针织面料>>针织色丁 棉类面料>>棉布
提花布,无
欧根纱提花,丝绸/真丝面料>>欧根纱
雪纺剪花,针织面料>>针织提花 棉类面料>>梭织提花
精纺毛料,呢料毛纺面料>>其他毛纺面料>>精纺
印花灯芯绒,棉类面料>>灯芯绒
仿PU,皮革/皮革>>仿皮
烫金布，色丁,丝绸/真丝面料>>色丁 化纤面料>>色丁 针织面料>>其他针织面料>>针织色丁 针织面料>>其他针织面料>>烫金布
牛津布，烫金布,针织面料>>其他针织面料>>烫金布 化纤面料>>牛津纺>>牛津布
高低捻雪纺,化纤面料>>雪纺
乱麻，花瑶绉,化纤面料>>雪纺>>乱麻 化纤面料>>花瑶绉
四面弹，,化纤面料>>四面弹
平绒,呢料毛纺面料>>绒布
竹节平绒,呢料毛纺面料>>绒布
水波纹,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>其他毛纺面料>>马海毛
变色龙,化纤面料>>其他涤纶面料
涤闪光,针织面料>>其他针织面料>>金银丝
加厚锦棉,化纤面料>>羽绒服、棉服面料
雪纺提花,化纤面料>>雪纺
胚布,无
唐装面料,丝绸/真丝面料>>锦缎
旗袍面料,丝绸/真丝面料>>锦缎 丝绸/真丝面料>>丝绸 丝绸/真丝面料>>真丝面料 麻类面料>>苎麻布 棉类面料>>缎纹>>贡缎
锦棉竹节,化纤面料>>羽绒服、棉服面料
乱麻四面弹,化纤面料>>雪纺>>乱麻 化纤面料>>雪纺>>四面弹
股线，平绣,蕾丝/绣品>>蕾丝绣花>>平绣 蕾丝/绣品>>股线蕾丝
蕾丝网布,蕾丝/绣品>>网布
吸湿排汗面料,针织面料>>弹力布>>阳离子拉架
梭织里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
风衣,化纤面料>>其他化纤面料>>风衣面料
梭织绣花,加工服务>>绣花 蕾丝面料>>蕾丝绣花
磨毛牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
色织牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
天丝牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
斜纹牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
印花牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
服装面料,无
巴厘纱,棉类面料>>衬衫布
仿麻竹节布,化纤面料>>仿麻布
高密仿天丝,棉类面料>>其他棉纺>>仿天丝
雪纺压皱,化纤面料>>雪纺
蕾丝 网布 绣,蕾丝/绣品>>普通蕾丝 蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>股线蕾丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>锦氨蕾丝 蕾丝/绣品>>流苏蕾丝 蕾丝/绣品>>网布 蕾丝/绣品>>蕾丝绣花
水印,加工服务>>印染 加工服务>>印花
鞋里布,其他面料>>箱包、鞋材料>>鞋材料
纯棉布,棉类面料>>棉布
蒸笼布,棉类面料>>棉布
北极绒，舒棉绒,呢料毛纺面料>>绒布>>北极绒 呢料毛纺面料>>绒布>>舒棉绒
果粒绒，pv绒,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>绒布>>PV绒
兔毛，pv绒刷,皮革/皮革>>皮毛 呢料毛纺面料>>绒布>>兔绒 呢料毛纺面料>>绒布>>PV绒
乱麻，高丝宝,化纤面料>>雪纺>>乱麻 化纤面料>>其他化纤面料>>仿真丝
复合丝,化纤面料>>雪纺>>复合丝雪纺 化纤面料>>其他化纤面料>>仿真丝
丝棉,辅料>>纺织填充物
网布.胶印,蕾丝/绣品>>网布 针织面料>>网布 加工服务>>压胶 加工服务>>印花
特丽纶,蕾丝/绣品>>网纱
烂花面料,棉类面料>>其他棉纺>>烂花
染色提花,无
打孔绣,加工服务>>冲孔 加工服务>>激光冲孔
沙卡,棉类面料>>纱卡
人棉皱布,化纤面料>>其他粘胶(人棉)面料
人棉贡缎,化纤面料>>其他粘胶(人棉)面料
绣花，巴厘纱,蕾丝面料>>蕾丝绣花 棉类面料>>衬衫布
竹节，麻料，,麻类面料>>其他麻纺面料>>麻料
直贡，府绸,棉类面料>>缎纹 棉类面料>>平纹布>>府绸
腰带扣，鞋眼,辅料>>服装饰品
铆钉,辅料>>服装饰品
健康布印花,棉类面料>>工装面料>>工装面料
针织经编烫金,针织面料>>其他针织面料>>烫金布
坯布,无
绸缎,丝绸/真丝面料>>欧根纱 丝绸/真丝面料>>乔其 丝绸/真丝面料>>重磅真丝 丝绸/真丝面料>>双绉 丝绸/真丝面料>>丝绒 丝绸/真丝面料>>香云纱 丝绸/真丝面料>>双乔 丝绸/真丝面料>>弹力缎 丝绸/真丝面料>>色丁 丝绸/真丝面料>>玻璃纱 丝绸/真丝面料>>蚕丝缎 丝绸/真丝面料>>锦缎 丝绸/真丝面料>>顺纡绉 丝绸/真丝面料>>真丝面料
欧根纱烂花,丝绸/真丝面料>>欧根纱
剪花、印花,无
华丽斜,化纤面料>>雪纺
针织牙签条,棉类面料>>条子布 棉类面料>>衬衫布
欧根纱烧花,丝绸/真丝面料>>欧根纱
灯芯绒印花,棉类面料>>灯芯绒
平绒印花,呢料毛纺面料>>绒布
法兰绒印花,呢料毛纺面料>>绒布>>法兰绒
绒雪纺,化纤面料>>雪纺
狐狸毛，平剪毛,皮革/皮草>>皮毛>>狐狸毛 呢料毛纺面料>>绒布>>银狐绒 呢料毛纺面料>>绒布>>割圈绒
落水毛,呢料毛纺面料>>绒布>>长毛绒
香奈儿,呢料毛纺面料>>粗纺>>粗花呢
洋呢,呢料毛纺面料>>羊绒
涤纶,化纤面料>>功能布 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>其他涤纶面料
T/R，米通,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料 棉类面料>>衬衫布
纱罗布,棉类面料>>梭织提花
绣花、复合,加工服务>>绣花 加工服务>>复合加工
羊绒印花,呢料毛纺面料>>羊绒
米通,棉类面料>>衬衫布
工装布牛津布,化纤面料>>牛津纺>>牛津布 棉类面料>>工装面料
有弹无弹梭织,无
天丝混纺,针织面料>>其他针织面料>>天丝棉 棉类面料>>其他棉纺>>仿天丝
全棉、涤棉,棉类面料>>棉布 化纤面料>>其他涤纶面料
TR、人棉,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料
缝纫线,辅料>>其他编织辅料>>纱线
拷边线。织带！,辅料>>其他编织辅料>>纱线 辅料>>织带
牛筋,化纤面料>>牛津纺>>牛津布
仿平绒,呢料毛纺面料>>绒布
高密府,棉类面料>>平纹布>>府绸
天丝绒,呢料毛纺面料>>绒布 呢料毛纺面料>>其他毛纺面料
钻石麻,化纤面料>>雪纺
泡泡皱,化纤面料>>雪纺
织锦缎,丝绸/真丝面料>>锦缎
朝阳格,棉类面料>>格子布 棉类面料>>衬衫布
亚麻，黄麻,麻类面料>>亚麻布 麻类面料>>其他麻纺面料 
仿麻，麻绳,化纤面料>>仿麻布 辅料>>绳子类
沙发布，窗帘布,其他面料>>家纺>>沙发布 其他面料>>窗帘面料
全棉，涤棉,棉类面料>>棉布 化纤面料>>其他涤纶面料
围巾面料,化纤面料>>其他化纤面料>>仿真丝 丝绸/真丝面料>>真丝面料
府绸，弹力帆布,棉类面料>>其他棉纺>>帆布 棉类面料>>平纹布>>府绸
纱卡，贡缎,棉类面料>>纱卡 棉类面料>>缎纹>>贡缎
色织罗纹,针织面料>>罗纹
睫毛，绣品,蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>绣品 蕾丝/绣品>>蕾丝绣花
色织条子,棉类面料>>条子布 棉类面料>>格子布 棉类面料>>衬衫布 化纤面料>>条子布
